review_text,rating,review_date
worst mobile banking app i ever experienced i was blaming other apps but comparing with this they're too much better!!!! it clashes it takes much longer time to login while loading in short it's a complete of trash,1,2025-03-06
bro the worst app made by human kind!! as a software engineer it make me so sad seeing enterprise as big as boa make apps like this. it is a disgrace for our country!!,1,2025-03-05
aga b girja miss language of admin afaan oromo & other itoophiyaa languages,1,2025-03-04
good app,5,2025-03-03
"i downloaded the app for the first time while reading other customers reviews and as soon as i installed and opened the app it closes back automatically, what unserious bank, now i uninstalled the app immediately",1,2025-03-03
it has good features but sometimes it doesn't work...0,1,2025-03-02
very poor proformance,1,2025-03-01
it's not opening. really frustrating,1,2025-03-01
verry amazing app from all ib,5,2025-03-01
not working on this days,1,2025-02-26
thank you boa,5,2025-02-23
best banking app in the wworld,5,2025-02-22
nice app and it's easy to use,5,2025-02-21
"please add language in the apps setting(amharic afan oromo, tigniya,and others) sometimes bank to bank transfer is not available through time and even if if it is available not reachable…it is serious issue!",1,2025-02-15
this is help full i like ittttt,5,2025-02-14
the is not functional at all?,2,2025-02-12
best bank,5,2025-02-08
make it easy and convienient to use and perfect for all to high prefrence and choice.,3,2025-02-07
🇪🇹🇪🇹🇪🇹🇪🇹🇪🇹🇪🇹👍👍👍👍👍👍👍,5,2025-02-04
i have been using this app for two years.it is amazing.,5,2025-02-01
good 👍,5,2025-01-31
sad experience,1,2025-01-30
always do update and that is annoying,3,2025-01-27
"best app, somehow waiting a few minutes",5,2025-01-23
i can't dijitalize my atm in the apollo app on my phone,1,2025-01-22
whenever i try to sign in app close please fixed it out,2,2025-01-21
beter,5,2025-01-21
boa,4,2025-01-18
በጣም የሚያስጠላ አፕ በጣም የወረደ ዜሮ ነው የምሰጠው ዘሮ it's not app it's very slow ehhhh. why don't you upgrade the app???? it's always zero,1,2025-01-18
aadan axmed barkhadle,5,2025-01-17
😡😡😡🤬🤬🤬,1,2025-01-16
horrible customer service and app crashes horrible!!,1,2025-01-15
i love it,5,2025-01-14
it keeps asking me to turn off developer mode even when dev mode is off. couldn't use it.,1,2025-01-13
good🙏,5,2025-01-12
